latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,-18000,America/Chicago,CDT

time,temperature_2m (°F),is_day (),precipitation (mm),rain (mm),showers (mm)
2024-09-10T15:00,60.1,0,0.00,0.00,0.00

time,temperature_2m (°F),precipitation (mm),rain (mm)
2024-09-10T00:00,59.9,0.00,0.00
2024-09-10T00:15,60.0,0.00,0.00
2024-09-10T00:30,60.1,0.00,0.00
2024-09-10T00:45,60.1,0.00,0.00
2024-09-10T01:00,60.2,0.00,0.00
2024-09-10T01:15,60.2,0.00,0.00
2024-09-10T01:30,60.1,0.00,0.00
2024-09-10T01:45,60.0,0.00,0.00
2024-09-10T02:00,60.0,0.00,0.00
2024-09-10T02:15,60.0,0.00,0.00
2024-09-10T02:30,60.1,0.00,0.00
2024-09-10T02:45,60.3,0.00,0.00
2024-09-10T03:00,60.4,0.00,0.00
2024-09-10T03:15,60.7,0.00,0.00
2024-09-10T03:30,61.1,0.00,0.00
2024-09-10T03:45,61.4,0.00,0.00
2024-09-10T04:00,61.8,0.00,0.00
2024-09-10T04:15,62.2,0.00,0.00
2024-09-10T04:30,62.7,0.00,0.00
2024-09-10T04:45,63.1,0.00,0.00
2024-09-10T05:00,63.5,0.00,0.00
2024-09-10T05:15,63.8,0.00,0.00
2024-09-10T05:30,64.0,0.00,0.00
2024-09-10T05:45,64.3,0.00,0.00
2024-09-10T06:00,64.5,0.00,0.00
2024-09-10T06:15,64.6,0.00,0.00
2024-09-10T06:30,64.7,0.00,0.00
2024-09-10T06:45,64.8,0.00,0.00
2024-09-10T07:00,64.9,0.00,0.00
2024-09-10T07:15,65.2,0.00,0.00
2024-09-10T07:30,65.5,0.00,0.00
2024-09-10T07:45,65.8,0.00,0.00
2024-09-10T08:00,65.9,0.00,0.00
2024-09-10T08:15,65.9,0.00,0.00
2024-09-10T08:30,65.9,0.00,0.00
2024-09-10T08:45,65.8,0.00,0.00
2024-09-10T09:00,65.8,0.00,0.00
2024-09-10T09:15,65.6,0.00,0.00
2024-09-10T09:30,65.4,0.00,0.00
2024-09-10T09:45,65.2,0.00,0.00
2024-09-10T10:00,65.0,0.00,0.00
2024-09-10T10:15,64.9,0.00,0.00
2024-09-10T10:30,64.9,0.00,0.00
2024-09-10T10:45,64.8,0.00,0.00
2024-09-10T11:00,64.8,0.00,0.00
2024-09-10T11:15,64.6,0.00,0.00
2024-09-10T11:30,64.4,0.00,0.00
2024-09-10T11:45,64.1,0.00,0.00
2024-09-10T12:00,63.9,0.00,0.00
2024-09-10T12:15,63.5,0.00,0.00
2024-09-10T12:30,63.0,0.00,0.00
2024-09-10T12:45,62.6,0.00,0.00
2024-09-10T13:00,62.2,0.00,0.00
2024-09-10T13:15,61.7,0.00,0.00
2024-09-10T13:30,61.3,0.00,0.00
2024-09-10T13:45,61.0,0.00,0.00
2024-09-10T14:00,60.7,0.00,0.00
2024-09-10T14:15,60.4,0.00,0.00
2024-09-10T14:30,60.3,0.00,0.00
2024-09-10T14:45,60.2,0.00,0.00
2024-09-10T15:00,60.1,0.00,0.00
2024-09-10T15:15,59.9,0.00,0.00
2024-09-10T15:30,59.8,0.00,0.00
2024-09-10T15:45,59.7,0.00,0.00
2024-09-10T16:00,59.6,0.00,0.00
2024-09-10T16:15,59.5,0.00,0.00
2024-09-10T16:30,59.5,0.00,0.00
2024-09-10T16:45,59.4,0.00,0.00
2024-09-10T17:00,59.3,0.00,0.00
2024-09-10T17:15,59.2,0.00,0.00
2024-09-10T17:30,59.1,0.00,0.00
